a,b,c,d
110.2,270.4,220,498.4
118.7,288.9,148.9,510.2
136.1,375,153.3,499.8
124.1,376.6,108.3,522.4
182.3,371.1,115.2,529
163.2,403.7,77.3,517.6
138,323.4,221.2,526.6
158,365.1,169.8,505.5
125.9,330.5,197.2,508
105.9,307,250,494.7
161.1,383,112.7,517.1
121.8,262.6,177.9,505.1
176.7,397.7,128.3,519.6
102.2,257.1,220.9,497.5
100.5,269.9,260,520
195.2,438.5,80.4,517.4
151.4,335.5,175.5,517.9
184.3,409,45.3,528.4
163.1,395.7,101.9,511.3
197.9,466.4,114,518.9
119.4,293.1,170.9,519.3
108.3,272.2,199,514.5
137.6,364,213.1,519.2
142.8,350.2,173.4,524.8
155.8,313.6,198.6,520.5
157.7,420.3,144.2,525.8
197,456.3,95.9,516.5
190,420.2,53.1,535
191.7,402.8,154.8,527.5
155.3,323.2,135.5,515.7
175.5,441.9,107.7,509.8
180.1,404.7,95.7,506.3
126.9,324.1,161,498
187.1,440.2,153.3,516.9
108.8,280.8,187.9,517.5
174.5,420.5,138.9,504.6
121,267.8,213.1,504.2
191.3,415,135.2,521.5
179.8,470.9,143.1,499.6
181.5,359.6,75.8,510.5
128.8,282.3,197.4,524.8
115.6,299.1,161.6,509.6
159.5,388.8,150.4,503.6
195.3,423.3,173.4,504.5
195,442.5,109.7,509.2
195.4,437.6,102.3,510.4
184.8,480.9,93.6,512.6
126.8,309,137.1,512.7
173.5,383.3,116.8,526.9
156.9,337.8,98.8,518
