midterm final
37.8 35.7
74.4 96.5
62.9 88.3
74.9 92.4
56.4 98.9
70.8 78
66.7 102.1
50.7 98.5
54.5 69.2
52.7 83.3
63.4 86.5
39.5 39.5
67.9 76.9
47.6 55.7
61.9 96.6
60.2 81.9
54.8 90.2
69.9 107.9
70.4 108.3
55.2 82
68.2 88
49.1 55.3
47.5 47.3
65 73.3
59.7 76.6
71.6 92.9
61.7 92.8
73.2 106.8
51.5 80.2
53.6 73.7
49.9 65.8
45.1 61.5
59.2 74.5
61 68.6
82.1 87.2
67 91.6
55.1 73.5
73.1 99.5
54.4 76.1
56.4 89.9
69.9 97.9
66.3 93.7
55 74.9
60.2 74
61.2 86.4
70 101.2
51.2 67.9
61.1 69
61.9 91.7
71 84
57.4 77.2
57.4 71.9
63.7 95.8
60 84.6
64.6 82.4
69.3 102
44.7 74.8
65 95.3
48.1 72.1
55.5 67
59.8 92.2
58.5 85.6
55.5 57.6
67.2 96
67.4 86.6
57.3 83.1
53.5 68.9
36 66.5
63.4 82.6
73.6 101.4
65.9 86.8
60.4 70.5
60.7 72.6
64.6 69.8
47.7 71.9
54.8 68.5
56.2 63.4
62.4 91.6
56 61.4
50.4 64.8
58.1 80.8
45.2 69
63.9 81.4
62.7 79.9
57 77.3
57.3 88.1
45.3 57
53.8 90.6
56.7 58.7
54.7 68.6
56.7 66.5
58.5 66.5
53.8 82
58.1 75.8
54.6 57.8
57.6 88.7
52.7 63.5
69 89.3
65.4 83.5
46.9 62.3
